workorderid,productid,operationsequence,locationid,scheduledstartdate,scheduledenddate,actualstartdate,actualenddate,actualresourcehrs,plannedcost,actualcost,modifieddate
3343,828,6,50,2011-08-25,2011-09-05,2011-09-09,2011-09-20,3.0,36.75,36.75,2011-09-20
3344,894,6,50,2011-08-25,2011-09-05,2011-09-09,2011-09-20,3.0,36.75,36.75,2011-09-20
3345,945,1,10,2011-08-25,2011-09-05,2011-09-09,2011-09-20,4.1,92.25,92.25,2011-09-20
3345,945,6,50,2011-08-25,2011-09-05,2011-09-09,2011-09-20,3.0,36.75,36.75,2011-09-20
3346,951,6,50,2011-08-25,2011-09-05,2011-09-09,2011-09-20,3.0,36.75,36.75,2011-09-20
3347,996,6,50,2011-08-25,2011-09-05,2011-09-09,2011-09-20,3.0,36.75,36.75,2011-09-20
3359,804,1,10,2011-08-25,2011-09-05,2011-09-09,2011-09-20,4.1,92.25,92.25,2011-09-20
3359,804,6,50,2011-08-25,2011-09-05,2011-09-09,2011-09-20,3.0,36.75,36.75,2011-09-20
3364,750,7,60,2011-08-26,2011-09-06,2011-08-26,2011-09-13,4.0,49.0,49.0,2011-09-13
3365,751,7,60,2011-08-26,2011-09-06,2011-08-26,2011-09-13,4.0,49.0,49.0,2011-09-13
3366,752,7,60,2011-08-26,2011-09-06,2011-08-26,2011-09-13,4.0,49.0,49.0,2011-09-13
3367,764,7,60,2011-08-26,2011-09-06,2011-08-26,2011-09-13,4.0,49.0,49.0,2011-09-13
3368,517,6,50,2011-08-26,2011-09-06,2011-08-26,2011-09-13,3.0,36.75,36.75,2011-09-13
3368,517,7,60,2011-08-26,2011-09-06,2011-08-26,2011-09-13,4.0,49.0,49.0,2011-09-13
3369,519,6,50,2011-08-26,2011-09-06,2011-08-26,2011-09-13,3.0,36.75,36.75,2011-09-13
3369,519,7,60,2011-08-26,2011-09-06,2011-08-26,2011-09-13,4.0,49.0,49.0,2011-09-13
3374,806,6,50,2011-08-26,2011-09-06,2011-08-26,2011-09-13,3.0,36.75,36.75,2011-09-13
3375,807,6,50,2011-08-26,2011-09-06,2011-08-26,2011-09-13,3.0,36.75,36.75,2011-09-13
3376,811,1,10,2011-08-26,2011-09-06,2011-08-26,2011-09-13,4.1,92.25,92.25,2011-09-13
3376,811,2,20,2011-08-26,2011-09-06,2011-08-26,2011-09-13,3.5,87.5,87.5,2011-09-13
3376,811,6,50,2011-08-26,2011-09-06,2011-08-26,2011-09-13,3.0,36.75,36.75,2011-09-13
3377,813,1,10,2011-08-26,2011-09-06,2011-08-26,2011-09-13,4.1,92.25,92.25,2011-09-13
3377,813,2,20,2011-08-26,2011-09-06,2011-08-26,2011-09-13,3.5,87.5,87.5,2011-09-13
3377,813,6,50,2011-08-26,2011-09-06,2011-08-26,2011-09-13,3.0,36.75,36.75,2011-09-13
3378,818,6,50,2011-08-26,2011-09-06,2011-08-26,2011-09-13,3.0,36.75,36.75,2011-09-13
3379,820,6,50,2011-08-26,2011-09-06,2011-08-26,2011-09-13,3.0,36.75,36.75,2011-09-13
3380,826,6,50,2011-08-26,2011-09-06,2011-08-26,2011-09-13,3.0,36.75,36.75,2011-09-13
3381,828,6,50,2011-08-26,2011-09-06,2011-08-26,2011-09-13,3.0,36.75,36.75,2011-09-13
3382,894,6,50,2011-08-26,2011-09-06,2011-08-26,2011-09-13,3.0,36.75,36.75,2011-09-13
3383,945,1,10,2011-08-26,2011-09-06,2011-08-26,2011-09-13,4.1,92.25,92.25,2011-09-13
3383,945,6,50,2011-08-26,2011-09-06,2011-08-26,2011-09-13,3.0,36.75,36.75,2011-09-13
3384,950,6,50,2011-08-26,2011-09-06,2011-08-26,2011-09-13,3.0,36.75,36.75,2011-09-13
3385,951,6,50,2011-08-26,2011-09-06,2011-08-26,2011-09-13,3.0,36.75,36.75,2011-09-13
3386,994,6,50,2011-08-26,2011-09-06,2011-08-26,2011-09-13,3.0,36.75,36.75,2011-09-13
3387,996,6,50,2011-08-26,2011-09-06,2011-08-26,2011-09-13,3.0,36.75,36.75,2011-09-13
3400,802,1,10,2011-08-26,2011-09-06,2011-08-26,2011-09-13,4.1,92.25,92.25,2011-09-13
3400,802,6,50,2011-08-26,2011-09-06,2011-08-26,2011-09-13,3.0,36.75,36.75,2011-09-13
3401,804,1,10,2011-08-26,2011-09-06,2011-08-26,2011-09-13,4.1,92.25,92.25,2011-09-13
3401,804,6,50,2011-08-26,2011-09-06,2011-08-26,2011-09-13,3.0,36.75,36.75,2011-09-13
3406,749,7,60,2011-08-27,2011-09-07,2011-09-13,2011-09-24,4.0,49.0,49.0,2011-09-24
3407,751,7,60,2011-08-27,2011-09-07,2011-09-13,2011-09-24,4.0,49.0,49.0,2011-09-24
3408,752,7,60,2011-08-27,2011-09-07,2011-09-13,2011-09-24,4.0,49.0,49.0,2011-09-24
3409,519,6,50,2011-08-27,2011-09-07,2011-09-13,2011-09-24,3.0,36.75,36.75,2011-09-24
3409,519,7,60,2011-08-27,2011-09-07,2011-09-13,2011-09-24,4.0,49.0,49.0,2011-09-24
3413,807,6,50,2011-08-27,2011-09-07,2011-09-13,2011-09-24,3.0,36.75,36.75,2011-09-24
3414,813,1,10,2011-08-27,2011-09-07,2011-09-13,2011-09-24,4.1,92.25,92.25,2011-09-24
3414,813,2,20,2011-08-27,2011-09-07,2011-09-13,2011-09-24,3.5,87.5,87.5,2011-09-24
3414,813,6,50,2011-08-27,2011-09-07,2011-09-13,2011-09-24,3.0,36.75,36.75,2011-09-24
3415,820,6,50,2011-08-27,2011-09-07,2011-09-13,2011-09-24,3.0,36.75,36.75,2011-09-24
3416,828,6,50,2011-08-27,2011-09-07,2011-09-13,2011-09-24,3.0,36.75,36.75,2011-09-24
3417,894,6,50,2011-08-27,2011-09-07,2011-09-13,2011-09-24,3.0,36.75,36.75,2011-09-24
3418,945,1,10,2011-08-27,2011-09-07,2011-09-13,2011-09-24,4.1,92.25,92.25,2011-09-24
3418,945,6,50,2011-08-27,2011-09-07,2011-09-13,2011-09-24,3.0,36.75,36.75,2011-09-24
3419,951,6,50,2011-08-27,2011-09-07,2011-09-13,2011-09-24,3.0,36.75,36.75,2011-09-24
3420,996,6,50,2011-08-27,2011-09-07,2011-09-13,2011-09-24,3.0,36.75,36.75,2011-09-24
3432,804,1,10,2011-08-27,2011-09-07,2011-09-13,2011-09-24,4.1,92.25,92.25,2011-09-24
3432,804,6,50,2011-08-27,2011-09-07,2011-09-13,2011-09-24,3.0,36.75,36.75,2011-09-24
3437,750,7,60,2011-08-28,2011-09-08,2011-08-28,2011-09-17,4.0,49.0,49.0,2011-09-17
3438,751,7,60,2011-08-28,2011-09-08,2011-08-28,2011-09-17,4.0,49.0,49.0,2011-09-17
3439,752,7,60,2011-08-28,2011-09-08,2011-08-28,2011-09-17,4.0,49.0,49.0,2011-09-17
3440,519,6,50,2011-08-28,2011-09-08,2011-08-28,2011-09-17,3.0,36.75,36.75,2011-09-17
3440,519,7,60,2011-08-28,2011-09-08,2011-08-28,2011-09-17,4.0,49.0,49.0,2011-09-17
3444,807,6,50,2011-08-28,2011-09-08,2011-08-28,2011-09-17,3.0,36.75,36.75,2011-09-17
3445,813,1,10,2011-08-28,2011-09-08,2011-08-28,2011-09-17,4.1,92.25,92.25,2011-09-17
3445,813,2,20,2011-08-28,2011-09-08,2011-08-28,2011-09-17,3.5,87.5,87.5,2011-09-17
3445,813,6,50,2011-08-28,2011-09-08,2011-08-28,2011-09-17,3.0,36.75,36.75,2011-09-17
3446,820,6,50,2011-08-28,2011-09-08,2011-08-28,2011-09-17,3.0,36.75,36.75,2011-09-17
3447,828,6,50,2011-08-28,2011-09-08,2011-08-28,2011-09-17,3.0,36.75,36.75,2011-09-17
3448,894,6,50,2011-08-28,2011-09-08,2011-08-28,2011-09-17,3.0,36.75,36.75,2011-09-17
3449,945,1,10,2011-08-28,2011-09-08,2011-08-28,2011-09-17,4.1,92.25,92.25,2011-09-17
3449,945,6,50,2011-08-28,2011-09-08,2011-08-28,2011-09-17,3.0,36.75,36.75,2011-09-17
3450,951,6,50,2011-08-28,2011-09-08,2011-08-28,2011-09-17,3.0,36.75,36.75,2011-09-17
3451,996,6,50,2011-08-28,2011-09-08,2011-08-28,2011-09-17,3.0,36.75,36.75,2011-09-17
3463,804,1,10,2011-08-28,2011-09-08,2011-08-28,2011-09-17,4.1,92.25,92.25,2011-09-17
3463,804,6,50,2011-08-28,2011-09-08,2011-08-28,2011-09-17,3.0,36.75,36.75,2011-09-17
3468,749,7,60,2011-08-29,2011-09-09,2011-09-17,2011-09-28,4.0,49.0,49.0,2011-09-28
3469,751,7,60,2011-08-29,2011-09-09,2011-09-17,2011-09-28,4.0,49.0,49.0,2011-09-28
3470,753,7,60,2011-08-29,2011-09-09,2011-09-17,2011-09-28,4.0,49.0,49.0,2011-09-28
3471,769,7,60,2011-08-29,2011-09-09,2011-09-17,2011-09-28,4.0,49.0,49.0,2011-09-28
3472,517,6,50,2011-08-29,2011-09-09,2011-09-17,2011-09-28,3.0,36.75,36.75,2011-09-28
3472,517,7,60,2011-08-29,2011-09-09,2011-09-17,2011-09-28,4.0,49.0,49.0,2011-09-28
3473,519,6,50,2011-08-29,2011-09-09,2011-09-17,2011-09-28,3.0,36.75,36.75,2011-09-28
3473,519,7,60,2011-08-29,2011-09-09,2011-09-17,2011-09-28,4.0,49.0,49.0,2011-09-28
3478,806,6,50,2011-08-29,2011-09-09,2011-09-17,2011-09-28,3.0,36.75,36.75,2011-09-28
3479,807,6,50,2011-08-29,2011-09-09,2011-09-17,2011-09-28,3.0,36.75,36.75,2011-09-28
3480,811,1,10,2011-08-29,2011-09-09,2011-09-17,2011-09-28,4.1,92.25,92.25,2011-09-28
3480,811,2,20,2011-08-29,2011-09-09,2011-09-17,2011-09-28,3.5,87.5,87.5,2011-09-28
3480,811,6,50,2011-08-29,2011-09-09,2011-09-17,2011-09-28,3.0,36.75,36.75,2011-09-28
3481,813,1,10,2011-08-29,2011-09-09,2011-09-17,2011-09-28,4.1,92.25,92.25,2011-09-28
3481,813,2,20,2011-08-29,2011-09-09,2011-09-17,2011-09-28,3.5,87.5,87.5,2011-09-28
3481,813,6,50,2011-08-29,2011-09-09,2011-09-17,2011-09-28,3.0,36.75,36.75,2011-09-28
3482,818,6,50,2011-08-29,2011-09-09,2011-09-17,2011-09-28,3.0,36.75,36.75,2011-09-28
3483,820,6,50,2011-08-29,2011-09-09,2011-09-17,2011-09-28,3.0,36.75,36.75,2011-09-28
3484,826,6,50,2011-08-29,2011-09-09,2011-09-17,2011-09-28,3.0,36.75,36.75,2011-09-28
3485,828,6,50,2011-08-29,2011-09-09,2011-09-17,2011-09-28,3.0,36.75,36.75,2011-09-28
3486,894,6,50,2011-08-29,2011-09-09,2011-09-17,2011-09-28,3.0,36.75,36.75,2011-09-28
3487,945,1,10,2011-08-29,2011-09-09,2011-09-17,2011-09-28,4.1,92.25,92.25,2011-09-28
3487,945,6,50,2011-08-29,2011-09-09,2011-09-17,2011-09-28,3.0,36.75,36.75,2011-09-28
3488,950,6,50,2011-08-29,2011-09-09,2011-09-17,2011-09-28,3.0,36.75,36.75,2011-09-28
3489,951,6,50,2011-08-29,2011-09-09,2011-09-17,2011-09-28,3.0,36.75,36.75,2011-09-28
3490,994,6,50,2011-08-29,2011-09-09,2011-09-17,2011-09-28,3.0,36.75,36.75,2011-09-28
3491,996,6,50,2011-08-29,2011-09-09,2011-09-17,2011-09-28,3.0,36.75,36.75,2011-09-28
3504,802,1,10,2011-08-29,2011-09-09,2011-09-17,2011-09-28,4.1,92.25,92.25,2011-09-28
3504,802,6,50,2011-08-29,2011-09-09,2011-09-17,2011-09-28,3.0,36.75,36.75,2011-09-28
3505,804,1,10,2011-08-29,2011-09-09,2011-09-17,2011-09-28,4.1,92.25,92.25,2011-09-28
3505,804,6,50,2011-08-29,2011-09-09,2011-09-17,2011-09-28,3.0,36.75,36.75,2011-09-28
3510,749,7,60,2011-08-30,2011-09-10,2011-08-30,2011-09-11,4.0,49.0,49.0,2011-09-11
3511,751,7,60,2011-08-30,2011-09-10,2011-08-30,2011-09-11,4.0,49.0,49.0,2011-09-11
3512,752,7,60,2011-08-30,2011-09-10,2011-08-30,2011-09-11,4.0,49.0,49.0,2011-09-11
3513,759,7,60,2011-08-30,2011-09-10,2011-08-30,2011-09-11,4.0,49.0,49.0,2011-09-11
3514,760,7,60,2011-08-30,2011-09-10,2011-08-30,2011-09-11,4.0,49.0,49.0,2011-09-11
3515,767,7,60,2011-08-30,2011-09-10,2011-08-30,2011-09-11,4.0,49.0,49.0,2011-09-11
3516,517,6,50,2011-08-30,2011-09-10,2011-08-30,2011-09-11,3.0,36.75,36.75,2011-09-11
3516,517,7,60,2011-08-30,2011-09-10,2011-08-30,2011-09-11,4.0,49.0,49.0,2011-09-11
3517,519,6,50,2011-08-30,2011-09-10,2011-08-30,2011-09-11,3.0,36.75,36.75,2011-09-11
3517,519,7,60,2011-08-30,2011-09-10,2011-08-30,2011-09-11,4.0,49.0,49.0,2011-09-11
3524,806,6,50,2011-08-30,2011-09-10,2011-08-30,2011-09-11,3.0,36.75,36.75,2011-09-11
3525,807,6,50,2011-08-30,2011-09-10,2011-08-30,2011-09-11,3.0,36.75,36.75,2011-09-11
3526,811,1,10,2011-08-30,2011-09-10,2011-08-30,2011-09-11,4.1,92.25,92.25,2011-09-11
3526,811,2,20,2011-08-30,2011-09-10,2011-08-30,2011-09-11,3.5,87.5,87.5,2011-09-11
3526,811,6,50,2011-08-30,2011-09-10,2011-08-30,2011-09-11,3.0,36.75,36.75,2011-09-11
3527,813,1,10,2011-08-30,2011-09-10,2011-08-30,2011-09-11,4.1,92.25,92.25,2011-09-11
3527,813,2,20,2011-08-30,2011-09-10,2011-08-30,2011-09-11,3.5,87.5,87.5,2011-09-11
3527,813,6,50,2011-08-30,2011-09-10,2011-08-30,2011-09-11,3.0,36.75,36.75,2011-09-11
3528,818,6,50,2011-08-30,2011-09-10,2011-08-30,2011-09-11,3.0,36.75,36.75,2011-09-11
3529,820,6,50,2011-08-30,2011-09-10,2011-08-30,2011-09-11,3.0,36.75,36.75,2011-09-11
3530,826,6,50,2011-08-30,2011-09-10,2011-08-30,2011-09-11,3.0,36.75,36.75,2011-09-11
3531,828,6,50,2011-08-30,2011-09-10,2011-08-30,2011-09-11,3.0,36.75,36.75,2011-09-11
3532,894,6,50,2011-08-30,2011-09-10,2011-08-30,2011-09-11,3.0,36.75,36.75,2011-09-11
3533,945,1,10,2011-08-30,2011-09-10,2011-08-30,2011-09-11,4.1,92.25,92.25,2011-09-11
3533,945,6,50,2011-08-30,2011-09-10,2011-08-30,2011-09-11,3.0,36.75,36.75,2011-09-11
3534,950,6,50,2011-08-30,2011-09-10,2011-08-30,2011-09-11,3.0,36.75,36.75,2011-09-11
3535,951,6,50,2011-08-30,2011-09-10,2011-08-30,2011-09-11,3.0,36.75,36.75,2011-09-11
3536,994,6,50,2011-08-30,2011-09-10,2011-08-30,2011-09-11,3.0,36.75,36.75,2011-09-11
3537,996,6,50,2011-08-30,2011-09-10,2011-08-30,2011-09-11,3.0,36.75,36.75,2011-09-11
3550,802,1,10,2011-08-30,2011-09-10,2011-08-30,2011-09-11,4.1,92.25,92.25,2011-09-11
3550,802,6,50,2011-08-30,2011-09-10,2011-08-30,2011-09-11,3.0,36.75,36.75,2011-09-11
3551,804,1,10,2011-08-30,2011-09-10,2011-08-30,2011-09-11,4.1,92.25,92.25,2011-09-11
3551,804,6,50,2011-08-30,2011-09-10,2011-08-30,2011-09-11,3.0,36.75,36.75,2011-09-11
3556,751,7,60,2011-08-31,2011-09-11,2011-09-01,2011-09-11,4.0,49.0,49.0,2011-09-11
3557,767,7,60,2011-08-31,2011-09-11,2011-09-01,2011-09-11,4.0,49.0,49.0,2011-09-11
3558,517,6,50,2011-08-31,2011-09-11,2011-09-01,2011-09-11,3.0,36.75,36.75,2011-09-11
3558,517,7,60,2011-08-31,2011-09-11,2011-09-01,2011-09-11,4.0,49.0,49.0,2011-09-11
3559,519,6,50,2011-08-31,2011-09-11,2011-09-01,2011-09-11,3.0,36.75,36.75,2011-09-11
3559,519,7,60,2011-08-31,2011-09-11,2011-09-01,2011-09-11,4.0,49.0,49.0,2011-09-11
3562,806,6,50,2011-08-31,2011-09-11,2011-09-01,2011-09-11,3.0,36.75,36.75,2011-09-11
3563,807,6,50,2011-08-31,2011-09-11,2011-09-01,2011-09-11,3.0,36.75,36.75,2011-09-11
3564,811,1,10,2011-08-31,2011-09-11,2011-09-01,2011-09-11,4.1,92.25,92.25,2011-09-11
3564,811,2,20,2011-08-31,2011-09-11,2011-09-01,2011-09-11,3.5,87.5,87.5,2011-09-11
3564,811,6,50,2011-08-31,2011-09-11,2011-09-01,2011-09-11,3.0,36.75,36.75,2011-09-11
3565,813,1,10,2011-08-31,2011-09-11,2011-09-01,2011-09-11,4.1,92.25,92.25,2011-09-11
3565,813,2,20,2011-08-31,2011-09-11,2011-09-01,2011-09-11,3.5,87.5,87.5,2011-09-11
3565,813,6,50,2011-08-31,2011-09-11,2011-09-01,2011-09-11,3.0,36.75,36.75,2011-09-11
3566,818,6,50,2011-08-31,2011-09-11,2011-09-01,2011-09-11,3.0,36.75,36.75,2011-09-11
3567,820,6,50,2011-08-31,2011-09-11,2011-09-01,2011-09-11,3.0,36.75,36.75,2011-09-11
3568,826,6,50,2011-08-31,2011-09-11,2011-09-01,2011-09-11,3.0,36.75,36.75,2011-09-11
3569,828,6,50,2011-08-31,2011-09-11,2011-09-01,2011-09-11,3.0,36.75,36.75,2011-09-11
3570,894,6,50,2011-08-31,2011-09-11,2011-09-01,2011-09-11,3.0,36.75,36.75,2011-09-11
3571,945,1,10,2011-08-31,2011-09-11,2011-09-01,2011-09-11,4.1,92.25,92.25,2011-09-11
3571,945,6,50,2011-08-31,2011-09-11,2011-09-01,2011-09-11,3.0,36.75,36.75,2011-09-11
3572,950,6,50,2011-08-31,2011-09-11,2011-09-01,2011-09-11,3.0,36.75,36.75,2011-09-11
3573,951,6,50,2011-08-31,2011-09-11,2011-09-01,2011-09-11,3.0,36.75,36.75,2011-09-11
3574,994,6,50,2011-08-31,2011-09-11,2011-09-01,2011-09-11,3.0,36.75,36.75,2011-09-11
3575,996,6,50,2011-08-31,2011-09-11,2011-09-01,2011-09-11,3.0,36.75,36.75,2011-09-11
3588,802,1,10,2011-08-31,2011-09-11,2011-09-01,2011-09-11,4.1,92.25,92.25,2011-09-11
3588,802,6,50,2011-08-31,2011-09-11,2011-09-01,2011-09-11,3.0,36.75,36.75,2011-09-11
3589,804,1,10,2011-08-31,2011-09-11,2011-09-01,2011-09-11,4.1,92.25,92.25,2011-09-11
3589,804,6,50,2011-08-31,2011-09-11,2011-09-01,2011-09-11,3.0,36.75,36.75,2011-09-11
3594,762,7,60,2011-09-01,2011-09-12,2011-09-01,2011-09-15,4.0,49.0,49.0,2011-09-15
3595,517,6,50,2011-09-01,2011-09-12,2011-09-01,2011-09-15,3.0,36.75,36.75,2011-09-15
3595,517,7,60,2011-09-01,2011-09-12,2011-09-01,2011-09-15,4.0,49.0,49.0,2011-09-15
3597,806,6,50,2011-09-01,2011-09-12,2011-09-01,2011-09-15,3.0,36.75,36.75,2011-09-15
3598,811,1,10,2011-09-01,2011-09-12,2011-09-01,2011-09-15,4.1,92.25,92.25,2011-09-15
3598,811,2,20,2011-09-01,2011-09-12,2011-09-01,2011-09-15,3.5,87.5,87.5,2011-09-15
3598,811,6,50,2011-09-01,2011-09-12,2011-09-01,2011-09-15,3.0,36.75,36.75,2011-09-15
3599,818,6,50,2011-09-01,2011-09-12,2011-09-01,2011-09-15,3.0,36.75,36.75,2011-09-15
3600,826,6,50,2011-09-01,2011-09-12,2011-09-01,2011-09-15,3.0,36.75,36.75,2011-09-15
3601,894,6,50,2011-09-01,2011-09-12,2011-09-01,2011-09-15,3.0,36.75,36.75,2011-09-15
3602,945,1,10,2011-09-01,2011-09-12,2011-09-01,2011-09-15,4.1,92.25,92.25,2011-09-15
3602,945,6,50,2011-09-01,2011-09-12,2011-09-01,2011-09-15,3.0,36.75,36.75,2011-09-15
3603,950,6,50,2011-09-01,2011-09-12,2011-09-01,2011-09-15,3.0,36.75,36.75,2011-09-15
3604,994,6,50,2011-09-01,2011-09-12,2011-09-01,2011-09-15,3.0,36.75,36.75,2011-09-15
3616,802,1,10,2011-09-01,2011-09-12,2011-09-01,2011-09-15,4.1,92.25,92.25,2011-09-15
3616,802,6,50,2011-09-01,2011-09-12,2011-09-01,2011-09-15,3.0,36.75,36.75,2011-09-15
3621,749,7,60,2011-09-02,2011-09-13,2011-09-05,2011-09-13,4.0,49.0,49.0,2011-09-13
3622,750,7,60,2011-09-02,2011-09-13,2011-09-05,2011-09-13,4.0,49.0,49.0,2011-09-13
3623,752,7,60,2011-09-02,2011-09-13,2011-09-05,2011-09-13,4.0,49.0,49.0,2011-09-13
3624,753,7,60,2011-09-02,2011-09-13,2011-09-05,2011-09-13,4.0,49.0,49.0,2011-09-13
3625,519,6,50,2011-09-02,2011-09-13,2011-09-05,2011-09-13,3.0,36.75,36.75,2011-09-13
3625,519,7,60,2011-09-02,2011-09-13,2011-09-05,2011-09-13,4.0,49.0,49.0,2011-09-13
3630,807,6,50,2011-09-02,2011-09-13,2011-09-05,2011-09-13,3.0,36.75,36.75,2011-09-13
3631,813,1,10,2011-09-02,2011-09-13,2011-09-05,2011-09-13,4.1,92.25,92.25,2011-09-13
3631,813,2,20,2011-09-02,2011-09-13,2011-09-05,2011-09-13,3.5,87.5,87.5,2011-09-13
3631,813,6,50,2011-09-02,2011-09-13,2011-09-05,2011-09-13,3.0,36.75,36.75,2011-09-13
3632,820,6,50,2011-09-02,2011-09-13,2011-09-05,2011-09-13,3.0,36.75,36.75,2011-09-13
3633,828,6,50,2011-09-02,2011-09-13,2011-09-05,2011-09-13,3.0,36.75,36.75,2011-09-13
3634,894,6,50,2011-09-02,2011-09-13,2011-09-05,2011-09-13,3.0,36.75,36.75,2011-09-13
3635,945,1,10,2011-09-02,2011-09-13,2011-09-05,2011-09-13,4.1,92.25,92.25,2011-09-13
3635,945,6,50,2011-09-02,2011-09-13,2011-09-05,2011-09-13,3.0,36.75,36.75,2011-09-13
3636,951,6,50,2011-09-02,2011-09-13,2011-09-05,2011-09-13,3.0,36.75,36.75,2011-09-13
3637,996,6,50,2011-09-02,2011-09-13,2011-09-05,2011-09-13,3.0,36.75,36.75,2011-09-13
3649,804,1,10,2011-09-02,2011-09-13,2011-09-05,2011-09-13,4.1,92.25,92.25,2011-09-13
3649,804,6,50,2011-09-02,2011-09-13,2011-09-05,2011-09-13,3.0,36.75,36.75,2011-09-13
3672,748,1,10,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.1,92.25,92.25,2011-09-19
3672,748,2,20,2011-09-03,2011-09-14,2011-09-03,2011-09-19,3.5,87.5,87.5,2011-09-19
3672,748,3,30,2011-09-03,2011-09-14,2011-09-03,2011-09-19,1.0,14.5,14.5,2011-09-19
3672,748,5,45,2011-09-03,2011-09-14,2011-09-03,2011-09-19,2.0,36.0,36.0,2011-09-19
3672,748,6,50,2011-09-03,2011-09-14,2011-09-03,2011-09-19,3.0,36.75,36.75,2011-09-19
3672,748,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3673,749,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3674,750,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3675,751,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3676,752,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3677,753,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3678,754,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3679,755,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3680,756,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3681,757,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3682,758,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3683,759,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3684,760,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3685,761,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3686,762,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3687,763,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3688,764,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3689,765,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3690,766,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3691,767,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3692,768,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3693,769,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3694,770,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3695,771,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3696,772,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3697,773,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3698,774,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3699,775,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3700,776,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3701,777,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3702,778,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3703,516,6,50,2011-09-03,2011-09-14,2011-09-03,2011-09-19,3.0,36.75,36.75,2011-09-19
3703,516,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3704,517,6,50,2011-09-03,2011-09-14,2011-09-03,2011-09-19,3.0,36.75,36.75,2011-09-19
3704,517,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3705,518,6,50,2011-09-03,2011-09-14,2011-09-03,2011-09-19,3.0,36.75,36.75,2011-09-19
3705,518,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3706,519,6,50,2011-09-03,2011-09-14,2011-09-03,2011-09-19,3.0,36.75,36.75,2011-09-19
3706,519,7,60,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.0,49.0,49.0,2011-09-19
3735,747,1,10,2011-09-03,2011-09-14,2011-09-03,2011-09-19,4.1,92.25,92.25,2011-09-19
