workorderid,productid,orderqty,scrappedqty,startdate,enddate,duedate,scrapreasonid,modifieddate
7514,813,6,0,2011-11-30,2011-12-12,2011-12-11,,2011-12-12
7515,817,1,0,2011-11-30,2011-12-12,2011-12-11,,2011-12-12
7516,818,3,0,2011-11-30,2011-12-12,2011-12-11,,2011-12-12
7517,820,6,0,2011-11-30,2011-12-12,2011-12-11,,2011-12-12
7518,825,1,0,2011-11-30,2011-12-12,2011-12-11,,2011-12-12
7519,826,3,0,2011-11-30,2011-12-12,2011-12-11,,2011-12-12
7520,828,6,0,2011-11-30,2011-12-12,2011-12-11,,2011-12-12
7521,894,10,0,2011-11-30,2011-12-12,2011-12-11,,2011-12-12
7522,945,10,0,2011-11-30,2011-12-12,2011-12-11,,2011-12-12
7523,950,3,0,2011-11-30,2011-12-12,2011-12-11,,2011-12-12
7524,951,7,0,2011-11-30,2011-12-12,2011-12-11,,2011-12-12
7525,994,3,0,2011-11-30,2011-12-12,2011-12-11,,2011-12-12
7526,996,7,0,2011-11-30,2011-12-12,2011-12-11,,2011-12-12
7527,3,100,0,2011-11-30,2011-12-10,2011-12-11,,2011-12-10
7528,324,20,0,2011-11-30,2011-12-10,2011-12-11,,2011-12-10
7529,327,10,0,2011-11-30,2011-12-10,2011-12-11,,2011-12-10
7530,328,2,0,2011-11-30,2011-12-10,2011-12-11,,2011-12-10
7531,329,18,0,2011-11-30,2011-12-10,2011-12-11,,2011-12-10
7532,398,10,0,2011-11-30,2011-12-10,2011-12-11,,2011-12-10
7533,399,10,0,2011-11-30,2011-12-10,2011-12-11,,2011-12-10
7534,400,6,0,2011-11-30,2011-12-10,2011-12-11,,2011-12-10
7535,401,14,0,2011-11-30,2011-12-10,2011-12-11,,2011-12-10
7536,529,10,0,2011-11-30,2011-12-10,2011-12-11,,2011-12-10
7537,532,40,1,2011-11-30,2011-12-10,2011-12-11,6.0,2011-12-10
7538,533,10,0,2011-11-30,2011-12-10,2011-12-11,,2011-12-10
7539,534,10,0,2011-11-30,2011-12-10,2011-12-11,,2011-12-10
7540,802,3,0,2011-11-30,2011-12-12,2011-12-11,,2011-12-12
7541,804,7,0,2011-11-30,2011-12-12,2011-12-11,,2011-12-12
7542,316,20,0,2011-11-30,2011-12-10,2011-12-11,,2011-12-10
7543,331,20,0,2011-11-30,2011-12-10,2011-12-11,,2011-12-10
7544,350,10,0,2011-11-30,2011-12-10,2011-12-11,,2011-12-10
7545,531,10,0,2011-11-30,2011-12-10,2011-12-11,,2011-12-10
7546,749,2,0,2011-12-01,2011-12-12,2011-12-12,,2011-12-12
7547,750,1,0,2011-12-01,2011-12-12,2011-12-12,,2011-12-12
7548,751,1,0,2011-12-01,2011-12-12,2011-12-12,,2011-12-12
7549,752,2,0,2011-12-01,2011-12-12,2011-12-12,,2011-12-12
7550,775,1,0,2011-12-01,2011-12-12,2011-12-12,,2011-12-12
7551,777,1,0,2011-12-01,2011-12-12,2011-12-12,,2011-12-12
7552,516,2,0,2011-12-01,2011-12-12,2011-12-12,,2011-12-12
7553,519,6,0,2011-12-01,2011-12-12,2011-12-12,,2011-12-12
7554,717,2,0,2011-12-01,2011-12-11,2011-12-12,,2011-12-11
7555,718,1,0,2011-12-01,2011-12-11,2011-12-12,,2011-12-11
7556,719,1,0,2011-12-01,2011-12-11,2011-12-12,,2011-12-11
7557,720,2,0,2011-12-01,2011-12-11,2011-12-12,,2011-12-11
7558,744,1,0,2011-12-01,2011-12-11,2011-12-12,,2011-12-11
7559,747,1,0,2011-12-01,2011-12-12,2011-12-12,,2011-12-12
7560,807,8,0,2011-12-01,2011-12-12,2011-12-12,,2011-12-12
7561,810,2,0,2011-12-01,2011-12-12,2011-12-12,,2011-12-12
7562,813,6,0,2011-12-01,2011-12-12,2011-12-12,,2011-12-12
7563,817,2,0,2011-12-01,2011-12-12,2011-12-12,,2011-12-12
7564,820,6,0,2011-12-01,2011-12-12,2011-12-12,,2011-12-12
7565,825,2,0,2011-12-01,2011-12-12,2011-12-12,,2011-12-12
7566,828,6,0,2011-12-01,2011-12-12,2011-12-12,,2011-12-12
7567,894,8,0,2011-12-01,2011-12-12,2011-12-12,,2011-12-12
7568,945,8,0,2011-12-01,2011-12-12,2011-12-12,,2011-12-12
7569,951,8,0,2011-12-01,2011-12-12,2011-12-12,,2011-12-12
7570,996,8,0,2011-12-01,2011-12-12,2011-12-12,,2011-12-12
7571,3,80,0,2011-12-01,2011-12-11,2011-12-12,,2011-12-11
7572,324,16,0,2011-12-01,2011-12-11,2011-12-12,,2011-12-11
7573,327,8,0,2011-12-01,2011-12-11,2011-12-12,,2011-12-11
7574,328,4,0,2011-12-01,2011-12-11,2011-12-12,,2011-12-11
7575,329,12,0,2011-12-01,2011-12-11,2011-12-12,,2011-12-11
7576,398,8,0,2011-12-01,2011-12-11,2011-12-12,,2011-12-11
7577,399,8,0,2011-12-01,2011-12-11,2011-12-12,,2011-12-11
7578,401,16,0,2011-12-01,2011-12-11,2011-12-12,,2011-12-11
7579,529,8,0,2011-12-01,2011-12-11,2011-12-12,,2011-12-11
7580,532,32,0,2011-12-01,2011-12-11,2011-12-12,,2011-12-11
7581,533,8,0,2011-12-01,2011-12-11,2011-12-12,,2011-12-11
7582,534,8,0,2011-12-01,2011-12-11,2011-12-12,,2011-12-11
7583,804,8,0,2011-12-01,2011-12-12,2011-12-12,,2011-12-12
7584,316,16,0,2011-12-01,2011-12-11,2011-12-12,,2011-12-11
7585,331,16,0,2011-12-01,2011-12-11,2011-12-12,,2011-12-11
7586,350,8,0,2011-12-01,2011-12-11,2011-12-12,,2011-12-11
7587,531,8,0,2011-12-01,2011-12-11,2011-12-12,,2011-12-11
7588,750,2,0,2011-12-02,2011-12-16,2011-12-13,,2011-12-16
7589,753,2,0,2011-12-02,2011-12-16,2011-12-13,,2011-12-16
7590,771,2,0,2011-12-02,2011-12-16,2011-12-13,,2011-12-16
7591,775,1,0,2011-12-02,2011-12-16,2011-12-13,,2011-12-16
7592,516,3,0,2011-12-02,2011-12-16,2011-12-13,,2011-12-16
7593,519,4,0,2011-12-02,2011-12-16,2011-12-13,,2011-12-16
7594,718,2,0,2011-12-02,2011-12-12,2011-12-13,,2011-12-12
7595,721,2,0,2011-12-02,2011-12-12,2011-12-13,,2011-12-12
7596,747,1,0,2011-12-02,2011-12-16,2011-12-13,,2011-12-16
7597,748,2,0,2011-12-02,2011-12-16,2011-12-13,,2011-12-16
7598,807,7,0,2011-12-02,2011-12-16,2011-12-13,,2011-12-16
7599,810,3,0,2011-12-02,2011-12-16,2011-12-13,,2011-12-16
7600,813,4,0,2011-12-02,2011-12-16,2011-12-13,,2011-12-16
7601,817,3,0,2011-12-02,2011-12-16,2011-12-13,,2011-12-16
7602,820,4,0,2011-12-02,2011-12-16,2011-12-13,,2011-12-16
7603,825,3,0,2011-12-02,2011-12-16,2011-12-13,,2011-12-16
7604,828,4,0,2011-12-02,2011-12-16,2011-12-13,,2011-12-16
7605,894,7,0,2011-12-02,2011-12-16,2011-12-13,,2011-12-16
7606,945,7,0,2011-12-02,2011-12-16,2011-12-13,,2011-12-16
7607,951,7,0,2011-12-02,2011-12-16,2011-12-13,,2011-12-16
7608,996,7,0,2011-12-02,2011-12-16,2011-12-13,,2011-12-16
7609,3,70,0,2011-12-02,2011-12-12,2011-12-13,,2011-12-12
7610,324,14,0,2011-12-02,2011-12-12,2011-12-13,,2011-12-12
7611,327,7,0,2011-12-02,2011-12-12,2011-12-13,,2011-12-12
7612,328,6,0,2011-12-02,2011-12-12,2011-12-13,,2011-12-12
7613,329,8,0,2011-12-02,2011-12-12,2011-12-13,,2011-12-12
7614,398,7,0,2011-12-02,2011-12-12,2011-12-13,,2011-12-12
7615,399,7,0,2011-12-02,2011-12-12,2011-12-13,,2011-12-12
7616,401,14,0,2011-12-02,2011-12-12,2011-12-13,,2011-12-12
7617,529,7,0,2011-12-02,2011-12-12,2011-12-13,,2011-12-12
7618,532,28,0,2011-12-02,2011-12-12,2011-12-13,,2011-12-12
7619,533,7,0,2011-12-02,2011-12-12,2011-12-13,,2011-12-12
7620,534,7,0,2011-12-02,2011-12-12,2011-12-13,,2011-12-12
7621,804,7,0,2011-12-02,2011-12-16,2011-12-13,,2011-12-16
7622,316,14,0,2011-12-02,2011-12-12,2011-12-13,,2011-12-12
7623,331,14,0,2011-12-02,2011-12-12,2011-12-13,,2011-12-12
7624,350,7,0,2011-12-02,2011-12-12,2011-12-13,,2011-12-12
7625,531,7,0,2011-12-02,2011-12-12,2011-12-13,,2011-12-12
7626,749,2,0,2011-12-03,2011-12-14,2011-12-14,,2011-12-14
7627,750,2,0,2011-12-03,2011-12-14,2011-12-14,,2011-12-14
7628,751,1,0,2011-12-03,2011-12-14,2011-12-14,,2011-12-14
7629,752,1,0,2011-12-03,2011-12-14,2011-12-14,,2011-12-14
7630,765,1,0,2011-12-03,2011-12-14,2011-12-14,,2011-12-14
7631,517,1,0,2011-12-03,2011-12-14,2011-12-14,,2011-12-14
7632,519,6,0,2011-12-03,2011-12-14,2011-12-14,,2011-12-14
7633,717,2,0,2011-12-03,2011-12-13,2011-12-14,,2011-12-13
7634,718,2,0,2011-12-03,2011-12-13,2011-12-14,,2011-12-13
7635,719,1,0,2011-12-03,2011-12-13,2011-12-14,,2011-12-13
7636,720,1,0,2011-12-03,2011-12-13,2011-12-14,,2011-12-13
7637,722,1,0,2011-12-03,2011-12-13,2011-12-14,,2011-12-13
7638,806,1,0,2011-12-03,2011-12-14,2011-12-14,,2011-12-14
7639,807,6,0,2011-12-03,2011-12-14,2011-12-14,,2011-12-14
7640,811,1,0,2011-12-03,2011-12-14,2011-12-14,,2011-12-14
7641,813,6,0,2011-12-03,2011-12-14,2011-12-14,,2011-12-14
7642,818,1,0,2011-12-03,2011-12-14,2011-12-14,,2011-12-14
7643,820,6,0,2011-12-03,2011-12-14,2011-12-14,,2011-12-14
7644,826,1,0,2011-12-03,2011-12-14,2011-12-14,,2011-12-14
7645,828,6,0,2011-12-03,2011-12-14,2011-12-14,,2011-12-14
7646,894,7,0,2011-12-03,2011-12-14,2011-12-14,,2011-12-14
7647,945,7,0,2011-12-03,2011-12-14,2011-12-14,,2011-12-14
7648,950,1,0,2011-12-03,2011-12-14,2011-12-14,,2011-12-14
7649,951,6,0,2011-12-03,2011-12-14,2011-12-14,,2011-12-14
7650,994,1,0,2011-12-03,2011-12-14,2011-12-14,,2011-12-14
7651,996,6,0,2011-12-03,2011-12-14,2011-12-14,,2011-12-14
7652,3,70,0,2011-12-03,2011-12-13,2011-12-14,,2011-12-13
7653,324,14,0,2011-12-03,2011-12-13,2011-12-14,,2011-12-13
7654,327,7,0,2011-12-03,2011-12-13,2011-12-14,,2011-12-13
7655,329,14,0,2011-12-03,2011-12-13,2011-12-14,,2011-12-13
7656,398,7,0,2011-12-03,2011-12-13,2011-12-14,,2011-12-13
7657,399,7,0,2011-12-03,2011-12-13,2011-12-14,,2011-12-13
7658,400,2,0,2011-12-03,2011-12-13,2011-12-14,,2011-12-13
7659,401,12,0,2011-12-03,2011-12-13,2011-12-14,,2011-12-13
7660,529,7,0,2011-12-03,2011-12-13,2011-12-14,,2011-12-13
7661,532,28,0,2011-12-03,2011-12-13,2011-12-14,,2011-12-13
7662,533,7,0,2011-12-03,2011-12-13,2011-12-14,,2011-12-13
7663,534,7,0,2011-12-03,2011-12-13,2011-12-14,,2011-12-13
7664,802,1,0,2011-12-03,2011-12-14,2011-12-14,,2011-12-14
7665,804,6,0,2011-12-03,2011-12-14,2011-12-14,,2011-12-14
7666,316,14,0,2011-12-03,2011-12-13,2011-12-14,,2011-12-13
7667,331,14,0,2011-12-03,2011-12-13,2011-12-14,,2011-12-13
7668,350,7,0,2011-12-03,2011-12-13,2011-12-14,,2011-12-13
7669,531,7,0,2011-12-03,2011-12-13,2011-12-14,,2011-12-13
7670,722,4,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7671,725,12,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7672,726,5,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7673,729,10,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7674,730,7,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7675,732,10,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7676,738,10,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7677,741,5,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7678,742,3,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7679,743,1,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7680,745,1,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7681,747,3,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7682,748,2,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7683,749,14,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7684,750,8,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7685,751,7,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7686,752,10,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7687,753,18,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7688,754,29,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7689,755,18,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7690,756,23,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7691,757,6,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7692,758,37,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7693,759,11,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7694,760,30,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7695,761,30,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7696,762,39,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7697,763,29,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7698,764,22,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7699,765,39,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7700,766,17,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7701,767,9,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7702,768,18,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7703,769,7,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7704,770,49,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7705,771,23,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7706,772,14,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7707,773,29,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7708,774,21,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7709,775,21,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7710,776,17,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7711,777,24,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7712,778,22,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7713,516,171,5,2011-12-04,2011-12-20,2011-12-15,2.0,2011-12-20
7714,517,300,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7715,518,113,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7716,519,57,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7717,717,14,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7718,718,8,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7719,719,7,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7720,720,10,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7721,721,18,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7722,722,39,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7723,723,17,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7724,724,9,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7725,725,39,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7726,726,29,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7727,727,22,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7728,728,11,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7729,729,30,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7730,730,30,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7731,731,23,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7732,732,6,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7733,733,37,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7734,734,29,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7735,735,18,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7736,736,18,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7737,737,7,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7738,738,49,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7739,739,14,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7740,740,29,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7741,741,21,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7742,743,17,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7743,744,24,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7744,745,22,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7745,747,21,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7746,748,23,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7747,806,413,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7748,807,228,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7749,810,171,5,2011-12-04,2011-12-20,2011-12-15,8.0,2011-12-20
7750,811,300,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7751,812,113,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7752,813,57,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7753,817,171,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7754,818,300,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7755,819,113,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7756,820,57,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7757,825,171,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7758,826,300,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7759,827,113,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7760,828,57,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7761,894,641,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7762,945,641,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7763,950,413,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7764,951,228,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7765,994,300,6,2011-12-04,2011-12-20,2011-12-15,11.0,2011-12-20
7766,995,113,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7767,996,228,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7768,3,6410,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7769,324,1428,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7770,327,714,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7771,328,342,6,2011-12-04,2011-12-14,2011-12-15,12.0,2011-12-14
7772,329,940,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7773,398,641,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7774,399,714,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7775,400,600,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7776,401,682,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7777,529,641,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7778,532,2856,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7779,533,714,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7780,534,714,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7781,802,348,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7782,803,123,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7783,804,243,0,2011-12-04,2011-12-20,2011-12-15,,2011-12-20
7784,316,1428,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7785,331,1428,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7786,350,714,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7787,531,714,0,2011-12-04,2011-12-14,2011-12-15,,2011-12-14
7788,749,1,0,2011-12-05,2011-12-16,2011-12-16,,2011-12-16
7789,751,2,0,2011-12-05,2011-12-16,2011-12-16,,2011-12-16
7790,753,1,0,2011-12-05,2011-12-16,2011-12-16,,2011-12-16
7791,519,4,0,2011-12-05,2011-12-16,2011-12-16,,2011-12-16
7792,717,1,0,2011-12-05,2011-12-15,2011-12-16,,2011-12-15
7793,719,2,0,2011-12-05,2011-12-15,2011-12-16,,2011-12-15
7794,721,1,0,2011-12-05,2011-12-15,2011-12-16,,2011-12-15
7795,807,4,0,2011-12-05,2011-12-16,2011-12-16,,2011-12-16
7796,813,4,0,2011-12-05,2011-12-16,2011-12-16,,2011-12-16
7797,820,4,0,2011-12-05,2011-12-16,2011-12-16,,2011-12-16
7798,828,4,0,2011-12-05,2011-12-16,2011-12-16,,2011-12-16
7799,894,4,0,2011-12-05,2011-12-16,2011-12-16,,2011-12-16
7800,945,4,0,2011-12-05,2011-12-16,2011-12-16,,2011-12-16
7801,951,4,0,2011-12-05,2011-12-16,2011-12-16,,2011-12-16
7802,996,4,0,2011-12-05,2011-12-16,2011-12-16,,2011-12-16
7803,3,40,0,2011-12-05,2011-12-15,2011-12-16,,2011-12-15
7804,324,8,0,2011-12-05,2011-12-15,2011-12-16,,2011-12-15
7805,327,4,0,2011-12-05,2011-12-15,2011-12-16,,2011-12-15
7806,329,8,0,2011-12-05,2011-12-15,2011-12-16,,2011-12-15
7807,398,4,0,2011-12-05,2011-12-15,2011-12-16,,2011-12-15
7808,399,4,0,2011-12-05,2011-12-15,2011-12-16,,2011-12-15
7809,401,8,0,2011-12-05,2011-12-15,2011-12-16,,2011-12-15
7810,529,4,0,2011-12-05,2011-12-15,2011-12-16,,2011-12-15
7811,532,16,0,2011-12-05,2011-12-15,2011-12-16,,2011-12-15
7812,533,4,0,2011-12-05,2011-12-15,2011-12-16,,2011-12-15
7813,534,4,0,2011-12-05,2011-12-15,2011-12-16,,2011-12-15
7814,804,4,0,2011-12-05,2011-12-16,2011-12-16,,2011-12-16
7815,316,8,0,2011-12-05,2011-12-15,2011-12-16,,2011-12-15
7816,331,8,0,2011-12-05,2011-12-15,2011-12-16,,2011-12-15
7817,350,4,0,2011-12-05,2011-12-15,2011-12-16,,2011-12-15
7818,531,4,0,2011-12-05,2011-12-15,2011-12-16,,2011-12-15
7819,749,2,0,2011-12-06,2011-12-24,2011-12-17,,2011-12-24
7820,751,1,0,2011-12-06,2011-12-24,2011-12-17,,2011-12-24
7821,752,1,0,2011-12-06,2011-12-24,2011-12-17,,2011-12-24
7822,753,1,0,2011-12-06,2011-12-24,2011-12-17,,2011-12-24
7823,772,1,0,2011-12-06,2011-12-24,2011-12-17,,2011-12-24
7824,777,1,0,2011-12-06,2011-12-24,2011-12-17,,2011-12-24
7825,778,1,0,2011-12-06,2011-12-24,2011-12-17,,2011-12-24
7826,516,3,0,2011-12-06,2011-12-24,2011-12-17,,2011-12-24
7827,519,5,0,2011-12-06,2011-12-24,2011-12-17,,2011-12-24
7828,717,2,0,2011-12-06,2011-12-16,2011-12-17,,2011-12-16
7829,719,1,0,2011-12-06,2011-12-16,2011-12-17,,2011-12-16
7830,720,1,0,2011-12-06,2011-12-16,2011-12-17,,2011-12-16
7831,721,1,0,2011-12-06,2011-12-16,2011-12-17,,2011-12-16
7832,739,1,0,2011-12-06,2011-12-16,2011-12-17,,2011-12-16
7833,744,1,0,2011-12-06,2011-12-16,2011-12-17,,2011-12-16
7834,745,1,0,2011-12-06,2011-12-16,2011-12-17,,2011-12-16
7835,807,8,0,2011-12-06,2011-12-24,2011-12-17,,2011-12-24
7836,810,3,0,2011-12-06,2011-12-24,2011-12-17,,2011-12-24
7837,813,5,0,2011-12-06,2011-12-24,2011-12-17,,2011-12-24
7838,817,3,0,2011-12-06,2011-12-24,2011-12-17,,2011-12-24
7839,820,5,0,2011-12-06,2011-12-24,2011-12-17,,2011-12-24
7840,825,3,0,2011-12-06,2011-12-24,2011-12-17,,2011-12-24
7841,828,5,0,2011-12-06,2011-12-24,2011-12-17,,2011-12-24
7842,894,8,0,2011-12-06,2011-12-24,2011-12-17,,2011-12-24
7843,945,8,0,2011-12-06,2011-12-24,2011-12-17,,2011-12-24
7844,951,8,0,2011-12-06,2011-12-24,2011-12-17,,2011-12-24
7845,996,8,0,2011-12-06,2011-12-24,2011-12-17,,2011-12-24
7846,3,80,2,2011-12-06,2011-12-16,2011-12-17,7.0,2011-12-16
7847,324,16,0,2011-12-06,2011-12-16,2011-12-17,,2011-12-16
7848,327,8,0,2011-12-06,2011-12-16,2011-12-17,,2011-12-16
7849,328,6,0,2011-12-06,2011-12-16,2011-12-17,,2011-12-16
7850,329,10,0,2011-12-06,2011-12-16,2011-12-17,,2011-12-16
7851,398,8,0,2011-12-06,2011-12-16,2011-12-17,,2011-12-16
7852,399,8,0,2011-12-06,2011-12-16,2011-12-17,,2011-12-16
7853,401,16,0,2011-12-06,2011-12-16,2011-12-17,,2011-12-16
7854,529,8,0,2011-12-06,2011-12-16,2011-12-17,,2011-12-16
7855,532,32,0,2011-12-06,2011-12-16,2011-12-17,,2011-12-16
7856,533,8,0,2011-12-06,2011-12-16,2011-12-17,,2011-12-16
7857,534,8,0,2011-12-06,2011-12-16,2011-12-17,,2011-12-16
7858,804,8,0,2011-12-06,2011-12-24,2011-12-17,,2011-12-24
7859,316,16,0,2011-12-06,2011-12-16,2011-12-17,,2011-12-16
7860,331,16,0,2011-12-06,2011-12-16,2011-12-17,,2011-12-16
7861,350,8,0,2011-12-06,2011-12-16,2011-12-17,,2011-12-16
7862,531,8,0,2011-12-06,2011-12-16,2011-12-17,,2011-12-16
7863,749,1,0,2011-12-07,2011-12-18,2011-12-18,,2011-12-18
7864,751,2,0,2011-12-07,2011-12-18,2011-12-18,,2011-12-18
7865,752,1,0,2011-12-07,2011-12-18,2011-12-18,,2011-12-18
7866,771,1,0,2011-12-07,2011-12-18,2011-12-18,,2011-12-18
7867,516,1,0,2011-12-07,2011-12-18,2011-12-18,,2011-12-18
7868,519,4,0,2011-12-07,2011-12-18,2011-12-18,,2011-12-18
7869,717,1,0,2011-12-07,2011-12-17,2011-12-18,,2011-12-17
7870,719,2,0,2011-12-07,2011-12-17,2011-12-18,,2011-12-17
7871,720,1,0,2011-12-07,2011-12-17,2011-12-18,,2011-12-17
7872,748,1,0,2011-12-07,2011-12-18,2011-12-18,,2011-12-18
7873,807,5,0,2011-12-07,2011-12-18,2011-12-18,,2011-12-18
7874,810,1,0,2011-12-07,2011-12-18,2011-12-18,,2011-12-18
7875,813,4,0,2011-12-07,2011-12-18,2011-12-18,,2011-12-18
7876,817,1,0,2011-12-07,2011-12-18,2011-12-18,,2011-12-18
7877,820,4,0,2011-12-07,2011-12-18,2011-12-18,,2011-12-18
7878,825,1,0,2011-12-07,2011-12-18,2011-12-18,,2011-12-18
7879,828,4,0,2011-12-07,2011-12-18,2011-12-18,,2011-12-18
