transactionid,productid,referenceorderid,referenceorderlineid,transactiondate,transactiontype,quantity,actualcost,modifieddate
21750,730,46042,18,2012-03-30,S,1,226.8571,2012-03-30
21751,732,46042,12,2012-03-30,S,4,440.1742,2012-03-30
21752,749,46042,5,2012-03-30,S,1,2576.3544,2012-03-30
21753,750,46042,8,2012-03-30,S,1,2576.3544,2012-03-30
21754,753,46042,10,2012-03-30,S,3,2576.3544,2012-03-30
21755,754,46042,6,2012-03-30,S,2,1049.7528,2012-03-30
21756,755,46042,13,2012-03-30,S,1,1049.7528,2012-03-30
21757,757,46042,2,2012-03-30,S,4,1049.7528,2012-03-30
21758,759,46042,14,2012-03-30,S,3,503.3507,2012-03-30
21759,760,46042,11,2012-03-30,S,1,503.3507,2012-03-30
21760,761,46042,21,2012-03-30,S,1,503.3507,2012-03-30
21761,762,46042,20,2012-03-30,S,2,503.3507,2012-03-30
21762,763,46042,1,2012-03-30,S,2,503.3507,2012-03-30
21763,764,46042,16,2012-03-30,S,1,503.3507,2012-03-30
21764,766,46042,9,2012-03-30,S,1,503.3507,2012-03-30
21765,767,46042,23,2012-03-30,S,2,503.3507,2012-03-30
21766,768,46042,22,2012-03-30,S,1,503.3507,2012-03-30
21767,769,46042,19,2012-03-30,S,1,503.3507,2012-03-30
21768,770,46042,17,2012-03-30,S,1,503.3507,2012-03-30
21769,716,46043,6,2012-03-30,S,1,31.2437,2012-03-30
21770,722,46043,11,2012-03-30,S,1,220.2496,2012-03-30
21771,726,46043,5,2012-03-30,S,1,226.8571,2012-03-30
21772,729,46043,9,2012-03-30,S,1,226.8571,2012-03-30
21773,730,46043,2,2012-03-30,S,2,226.8571,2012-03-30
21774,733,46043,1,2012-03-30,S,3,440.1742,2012-03-30
21775,738,46043,14,2012-03-30,S,2,220.2496,2012-03-30
21776,753,46043,15,2012-03-30,S,1,2576.3544,2012-03-30
21777,754,46043,8,2012-03-30,S,2,1049.7528,2012-03-30
21778,758,46043,7,2012-03-30,S,5,1049.7528,2012-03-30
21779,760,46043,3,2012-03-30,S,3,503.3507,2012-03-30
21780,761,46043,13,2012-03-30,S,7,503.3507,2012-03-30
21781,764,46043,10,2012-03-30,S,1,503.3507,2012-03-30
21782,765,46043,4,2012-03-30,S,2,503.3507,2012-03-30
21783,766,46043,16,2012-03-30,S,4,503.3507,2012-03-30
21784,768,46043,17,2012-03-30,S,1,503.3507,2012-03-30
21785,770,46043,12,2012-03-30,S,2,503.3507,2012-03-30
21786,707,46044,29,2012-03-30,S,2,20.1865,2012-03-30
21787,708,46044,12,2012-03-30,S,1,20.1865,2012-03-30
21788,711,46044,24,2012-03-30,S,2,20.1865,2012-03-30
21789,712,46044,17,2012-03-30,S,1,5.6187,2012-03-30
21790,714,46044,11,2012-03-30,S,2,31.2437,2012-03-30
21791,715,46044,27,2012-03-30,S,3,31.2437,2012-03-30
21792,716,46044,6,2012-03-30,S,1,31.2437,2012-03-30
21793,725,46044,15,2012-03-30,S,2,226.8571,2012-03-30
21794,729,46044,22,2012-03-30,S,3,226.8571,2012-03-30
21795,732,46044,10,2012-03-30,S,1,440.1742,2012-03-30
21796,738,46044,16,2012-03-30,S,1,220.2496,2012-03-30
21797,749,46044,4,2012-03-30,S,3,2576.3544,2012-03-30
21798,750,46044,3,2012-03-30,S,1,2576.3544,2012-03-30
21799,751,46044,18,2012-03-30,S,2,2576.3544,2012-03-30
21800,752,46044,19,2012-03-30,S,1,2576.3544,2012-03-30
21801,755,46044,7,2012-03-30,S,2,1049.7528,2012-03-30
21802,756,46044,9,2012-03-30,S,1,1049.7528,2012-03-30
21803,758,46044,23,2012-03-30,S,4,1049.7528,2012-03-30
21804,759,46044,5,2012-03-30,S,1,503.3507,2012-03-30
21805,760,46044,14,2012-03-30,S,3,503.3507,2012-03-30
21806,761,46044,2,2012-03-30,S,1,503.3507,2012-03-30
21807,762,46044,26,2012-03-30,S,2,503.3507,2012-03-30
21808,763,46044,20,2012-03-30,S,2,503.3507,2012-03-30
21809,764,46044,13,2012-03-30,S,2,503.3507,2012-03-30
21810,765,46044,28,2012-03-30,S,1,503.3507,2012-03-30
21811,767,46044,8,2012-03-30,S,1,503.3507,2012-03-30
21812,768,46044,1,2012-03-30,S,1,503.3507,2012-03-30
21813,769,46044,21,2012-03-30,S,1,503.3507,2012-03-30
21814,770,46044,25,2012-03-30,S,1,503.3507,2012-03-30
21815,707,46045,6,2012-03-30,S,4,20.1865,2012-03-30
21816,708,46045,28,2012-03-30,S,6,20.1865,2012-03-30
21817,711,46045,13,2012-03-30,S,2,20.1865,2012-03-30
21818,712,46045,14,2012-03-30,S,6,5.6187,2012-03-30
21819,714,46045,16,2012-03-30,S,5,31.2437,2012-03-30
21820,715,46045,21,2012-03-30,S,2,31.2437,2012-03-30
21821,716,46045,5,2012-03-30,S,3,31.2437,2012-03-30
21822,717,46045,18,2012-03-30,S,1,934.9603,2012-03-30
21823,718,46045,17,2012-03-30,S,1,934.9603,2012-03-30
21824,722,46045,4,2012-03-30,S,2,220.2496,2012-03-30
21825,725,46045,9,2012-03-30,S,3,226.8571,2012-03-30
21826,726,46045,3,2012-03-30,S,2,226.8571,2012-03-30
21827,729,46045,10,2012-03-30,S,3,226.8571,2012-03-30
21828,730,46045,26,2012-03-30,S,3,226.8571,2012-03-30
21829,733,46045,22,2012-03-30,S,3,440.1742,2012-03-30
21830,736,46045,19,2012-03-30,S,3,220.2496,2012-03-30
21831,738,46045,31,2012-03-30,S,1,220.2496,2012-03-30
21832,749,46045,27,2012-03-30,S,2,2576.3544,2012-03-30
21833,753,46045,29,2012-03-30,S,6,2576.3544,2012-03-30
21834,754,46045,7,2012-03-30,S,2,1049.7528,2012-03-30
21835,755,46045,11,2012-03-30,S,5,1049.7528,2012-03-30
21836,756,46045,30,2012-03-30,S,1,1049.7528,2012-03-30
21837,758,46045,24,2012-03-30,S,1,1049.7528,2012-03-30
21838,760,46045,2,2012-03-30,S,5,503.3507,2012-03-30
21839,761,46045,25,2012-03-30,S,6,503.3507,2012-03-30
21840,762,46045,20,2012-03-30,S,7,503.3507,2012-03-30
21841,763,46045,12,2012-03-30,S,9,503.3507,2012-03-30
21842,764,46045,15,2012-03-30,S,5,503.3507,2012-03-30
21843,766,46045,23,2012-03-30,S,2,503.3507,2012-03-30
21844,769,46045,1,2012-03-30,S,2,503.3507,2012-03-30
21845,770,46045,8,2012-03-30,S,6,503.3507,2012-03-30
21846,754,46046,1,2012-03-30,S,1,1049.7528,2012-03-30
21847,709,46047,7,2012-03-30,S,1,6.175,2012-03-30
21848,739,46047,6,2012-03-30,S,2,891.2004,2012-03-30
21849,741,46047,4,2012-03-30,S,1,1009.73,2012-03-30
21850,743,46047,10,2012-03-30,S,1,881.4687,2012-03-30
21851,748,46047,3,2012-03-30,S,1,891.2004,2012-03-30
21852,772,46047,8,2012-03-30,S,4,2447.9928,2012-03-30
21853,773,46047,9,2012-03-30,S,3,2447.9928,2012-03-30
21854,774,46047,1,2012-03-30,S,4,2447.9928,2012-03-30
21855,776,46047,2,2012-03-30,S,5,2429.9928,2012-03-30
21856,777,46047,5,2012-03-30,S,2,2429.9928,2012-03-30
21857,778,46047,11,2012-03-30,S,3,2429.9928,2012-03-30
21858,709,46048,6,2012-03-30,S,3,6.175,2012-03-30
21859,742,46048,3,2012-03-30,S,1,891.2004,2012-03-30
21860,748,46048,2,2012-03-30,S,1,891.2004,2012-03-30
21861,771,46048,1,2012-03-30,S,3,2447.9928,2012-03-30
21862,773,46048,5,2012-03-30,S,3,2447.9928,2012-03-30
21863,775,46048,8,2012-03-30,S,3,2429.9928,2012-03-30
21864,777,46048,7,2012-03-30,S,4,2429.9928,2012-03-30
21865,778,46048,4,2012-03-30,S,3,2429.9928,2012-03-30
21866,707,46049,30,2012-03-30,S,5,20.1865,2012-03-30
21867,708,46049,34,2012-03-30,S,4,20.1865,2012-03-30
21868,711,46049,13,2012-03-30,S,3,20.1865,2012-03-30
21869,712,46049,8,2012-03-30,S,3,5.6187,2012-03-30
21870,714,46049,31,2012-03-30,S,4,31.2437,2012-03-30
21871,715,46049,14,2012-03-30,S,4,31.2437,2012-03-30
21872,716,46049,10,2012-03-30,S,5,31.2437,2012-03-30
21873,725,46049,15,2012-03-30,S,3,226.8571,2012-03-30
21874,726,46049,1,2012-03-30,S,3,226.8571,2012-03-30
21875,729,46049,17,2012-03-30,S,5,226.8571,2012-03-30
21876,730,46049,12,2012-03-30,S,5,226.8571,2012-03-30
21877,732,46049,22,2012-03-30,S,3,440.1742,2012-03-30
21878,738,46049,7,2012-03-30,S,3,220.2496,2012-03-30
21879,749,46049,33,2012-03-30,S,3,2576.3544,2012-03-30
21880,750,46049,16,2012-03-30,S,1,2576.3544,2012-03-30
21881,751,46049,9,2012-03-30,S,3,2576.3544,2012-03-30
21882,752,46049,4,2012-03-30,S,4,2576.3544,2012-03-30
21883,753,46049,20,2012-03-30,S,1,2576.3544,2012-03-30
21884,754,46049,29,2012-03-30,S,2,1049.7528,2012-03-30
21885,755,46049,6,2012-03-30,S,2,1049.7528,2012-03-30
21886,756,46049,28,2012-03-30,S,4,1049.7528,2012-03-30
21887,757,46049,21,2012-03-30,S,2,1049.7528,2012-03-30
21888,758,46049,3,2012-03-30,S,3,1049.7528,2012-03-30
21889,759,46049,27,2012-03-30,S,2,503.3507,2012-03-30
21890,760,46049,35,2012-03-30,S,1,503.3507,2012-03-30
21891,761,46049,19,2012-03-30,S,5,503.3507,2012-03-30
21892,762,46049,18,2012-03-30,S,2,503.3507,2012-03-30
21893,763,46049,26,2012-03-30,S,3,503.3507,2012-03-30
21894,764,46049,25,2012-03-30,S,4,503.3507,2012-03-30
21895,765,46049,32,2012-03-30,S,3,503.3507,2012-03-30
21896,766,46049,2,2012-03-30,S,4,503.3507,2012-03-30
21897,767,46049,24,2012-03-30,S,4,503.3507,2012-03-30
21898,768,46049,5,2012-03-30,S,2,503.3507,2012-03-30
21899,769,46049,23,2012-03-30,S,1,503.3507,2012-03-30
21900,770,46049,11,2012-03-30,S,1,503.3507,2012-03-30
21901,738,46050,2,2012-03-30,S,1,220.2496,2012-03-30
21902,749,46050,1,2012-03-30,S,1,2576.3544,2012-03-30
21903,709,46051,1,2012-03-30,S,9,6.175,2012-03-30
21904,741,46051,3,2012-03-30,S,1,1009.73,2012-03-30
21905,742,46051,9,2012-03-30,S,2,891.2004,2012-03-30
21906,745,46051,5,2012-03-30,S,2,998.704,2012-03-30
21907,747,46051,8,2012-03-30,S,1,881.4687,2012-03-30
21908,772,46051,4,2012-03-30,S,3,2447.9928,2012-03-30
21909,773,46051,6,2012-03-30,S,2,2447.9928,2012-03-30
21910,776,46051,2,2012-03-30,S,4,2429.9928,2012-03-30
21911,777,46051,7,2012-03-30,S,5,2429.9928,2012-03-30
21912,709,46052,1,2012-03-30,S,3,6.175,2012-03-30
21913,710,46052,10,2012-03-30,S,3,6.175,2012-03-30
21914,712,46052,6,2012-03-30,S,3,5.6187,2012-03-30
21915,715,46052,7,2012-03-30,S,6,31.2437,2012-03-30
21916,772,46052,9,2012-03-30,S,1,2447.9928,2012-03-30
21917,773,46052,4,2012-03-30,S,2,2447.9928,2012-03-30
21918,774,46052,3,2012-03-30,S,1,2447.9928,2012-03-30
21919,775,46052,8,2012-03-30,S,2,2429.9928,2012-03-30
21920,776,46052,5,2012-03-30,S,2,2429.9928,2012-03-30
21921,777,46052,2,2012-03-30,S,2,2429.9928,2012-03-30
21922,778,46052,11,2012-03-30,S,2,2429.9928,2012-03-30
21923,707,46053,10,2012-03-30,S,2,20.1865,2012-03-30
21924,711,46053,5,2012-03-30,S,4,20.1865,2012-03-30
21925,715,46053,14,2012-03-30,S,2,31.2437,2012-03-30
21926,716,46053,7,2012-03-30,S,4,31.2437,2012-03-30
21927,741,46053,16,2012-03-30,S,1,1009.73,2012-03-30
21928,742,46053,13,2012-03-30,S,1,891.2004,2012-03-30
21929,743,46053,11,2012-03-30,S,1,881.4687,2012-03-30
21930,744,46053,4,2012-03-30,S,1,998.704,2012-03-30
21931,745,46053,9,2012-03-30,S,1,998.704,2012-03-30
21932,771,46053,1,2012-03-30,S,3,2447.9928,2012-03-30
21933,772,46053,15,2012-03-30,S,2,2447.9928,2012-03-30
21934,774,46053,12,2012-03-30,S,2,2447.9928,2012-03-30
21935,775,46053,2,2012-03-30,S,6,2429.9928,2012-03-30
21936,776,46053,8,2012-03-30,S,5,2429.9928,2012-03-30
21937,777,46053,3,2012-03-30,S,3,2429.9928,2012-03-30
21938,778,46053,6,2012-03-30,S,3,2429.9928,2012-03-30
21939,712,46054,9,2012-03-30,S,2,5.6187,2012-03-30
21940,754,46054,8,2012-03-30,S,3,1049.7528,2012-03-30
21941,758,46054,4,2012-03-30,S,1,1049.7528,2012-03-30
21942,760,46054,2,2012-03-30,S,3,503.3507,2012-03-30
21943,761,46054,5,2012-03-30,S,3,503.3507,2012-03-30
21944,762,46054,3,2012-03-30,S,1,503.3507,2012-03-30
21945,763,46054,7,2012-03-30,S,1,503.3507,2012-03-30
21946,765,46054,1,2012-03-30,S,3,503.3507,2012-03-30
21947,770,46054,6,2012-03-30,S,1,503.3507,2012-03-30
21948,707,46055,22,2012-03-30,S,2,20.1865,2012-03-30
21949,708,46055,8,2012-03-30,S,5,20.1865,2012-03-30
21950,711,46055,20,2012-03-30,S,3,20.1865,2012-03-30
21951,714,46055,17,2012-03-30,S,2,31.2437,2012-03-30
21952,715,46055,27,2012-03-30,S,1,31.2437,2012-03-30
21953,716,46055,19,2012-03-30,S,2,31.2437,2012-03-30
21954,722,46055,26,2012-03-30,S,2,220.2496,2012-03-30
21955,725,46055,12,2012-03-30,S,1,226.8571,2012-03-30
21956,729,46055,16,2012-03-30,S,1,226.8571,2012-03-30
21957,732,46055,13,2012-03-30,S,1,440.1742,2012-03-30
21958,738,46055,5,2012-03-30,S,2,220.2496,2012-03-30
21959,749,46055,6,2012-03-30,S,2,2576.3544,2012-03-30
21960,750,46055,21,2012-03-30,S,3,2576.3544,2012-03-30
21961,752,46055,1,2012-03-30,S,3,2576.3544,2012-03-30
21962,754,46055,4,2012-03-30,S,1,1049.7528,2012-03-30
21963,756,46055,2,2012-03-30,S,1,1049.7528,2012-03-30
21964,758,46055,9,2012-03-30,S,3,1049.7528,2012-03-30
21965,759,46055,7,2012-03-30,S,2,503.3507,2012-03-30
21966,760,46055,14,2012-03-30,S,1,503.3507,2012-03-30
21967,761,46055,24,2012-03-30,S,1,503.3507,2012-03-30
21968,763,46055,15,2012-03-30,S,4,503.3507,2012-03-30
21969,765,46055,3,2012-03-30,S,3,503.3507,2012-03-30
21970,766,46055,23,2012-03-30,S,1,503.3507,2012-03-30
21971,767,46055,18,2012-03-30,S,1,503.3507,2012-03-30
21972,768,46055,11,2012-03-30,S,2,503.3507,2012-03-30
21973,769,46055,25,2012-03-30,S,2,503.3507,2012-03-30
21974,770,46055,10,2012-03-30,S,1,503.3507,2012-03-30
21975,707,46056,9,2012-03-30,S,3,20.1865,2012-03-30
21976,708,46056,17,2012-03-30,S,8,20.1865,2012-03-30
21977,709,46056,20,2012-03-30,S,7,6.175,2012-03-30
21978,711,46056,14,2012-03-30,S,5,20.1865,2012-03-30
21979,715,46056,19,2012-03-30,S,2,31.2437,2012-03-30
21980,716,46056,10,2012-03-30,S,1,31.2437,2012-03-30
21981,741,46056,16,2012-03-30,S,4,1009.73,2012-03-30
21982,742,46056,4,2012-03-30,S,4,891.2004,2012-03-30
21983,743,46056,15,2012-03-30,S,2,881.4687,2012-03-30
21984,745,46056,13,2012-03-30,S,4,998.704,2012-03-30
21985,747,46056,6,2012-03-30,S,4,881.4687,2012-03-30
21986,748,46056,3,2012-03-30,S,4,891.2004,2012-03-30
21987,771,46056,2,2012-03-30,S,6,2447.9928,2012-03-30
21988,772,46056,12,2012-03-30,S,5,2447.9928,2012-03-30
21989,773,46056,7,2012-03-30,S,5,2447.9928,2012-03-30
21990,774,46056,18,2012-03-30,S,7,2447.9928,2012-03-30
21991,775,46056,8,2012-03-30,S,3,2429.9928,2012-03-30
21992,776,46056,11,2012-03-30,S,8,2429.9928,2012-03-30
21993,777,46056,1,2012-03-30,S,2,2429.9928,2012-03-30
21994,778,46056,5,2012-03-30,S,2,2429.9928,2012-03-30
21995,707,46057,31,2012-03-30,S,7,20.1865,2012-03-30
21996,711,46057,16,2012-03-30,S,5,20.1865,2012-03-30
21997,712,46057,3,2012-03-30,S,6,5.6187,2012-03-30
21998,714,46057,10,2012-03-30,S,1,31.2437,2012-03-30
21999,715,46057,28,2012-03-30,S,2,31.2437,2012-03-30
22000,716,46057,12,2012-03-30,S,2,31.2437,2012-03-30
22001,722,46057,18,2012-03-30,S,2,220.2496,2012-03-30
22002,725,46057,13,2012-03-30,S,5,226.8571,2012-03-30
22003,726,46057,15,2012-03-30,S,1,226.8571,2012-03-30
22004,729,46057,17,2012-03-30,S,1,226.8571,2012-03-30
22005,730,46057,23,2012-03-30,S,1,226.8571,2012-03-30
22006,732,46057,32,2012-03-30,S,1,440.1742,2012-03-30
22007,733,46057,30,2012-03-30,S,1,440.1742,2012-03-30
22008,736,46057,2,2012-03-30,S,2,220.2496,2012-03-30
22009,738,46057,27,2012-03-30,S,3,220.2496,2012-03-30
22010,749,46057,29,2012-03-30,S,4,2576.3544,2012-03-30
22011,753,46057,26,2012-03-30,S,2,2576.3544,2012-03-30
22012,754,46057,20,2012-03-30,S,6,1049.7528,2012-03-30
22013,755,46057,25,2012-03-30,S,6,1049.7528,2012-03-30
22014,756,46057,6,2012-03-30,S,5,1049.7528,2012-03-30
22015,758,46057,24,2012-03-30,S,8,1049.7528,2012-03-30
22016,760,46057,1,2012-03-30,S,11,503.3507,2012-03-30
22017,761,46057,5,2012-03-30,S,7,503.3507,2012-03-30
22018,762,46057,4,2012-03-30,S,8,503.3507,2012-03-30
22019,763,46057,7,2012-03-30,S,8,503.3507,2012-03-30
22020,764,46057,11,2012-03-30,S,5,503.3507,2012-03-30
22021,765,46057,19,2012-03-30,S,5,503.3507,2012-03-30
22022,766,46057,21,2012-03-30,S,2,503.3507,2012-03-30
22023,767,46057,9,2012-03-30,S,1,503.3507,2012-03-30
22024,768,46057,14,2012-03-30,S,6,503.3507,2012-03-30
22025,769,46057,8,2012-03-30,S,1,503.3507,2012-03-30
22026,770,46057,22,2012-03-30,S,3,503.3507,2012-03-30
22027,707,46058,23,2012-03-30,S,6,20.1865,2012-03-30
22028,708,46058,8,2012-03-30,S,2,20.1865,2012-03-30
22029,711,46058,18,2012-03-30,S,2,20.1865,2012-03-30
22030,712,46058,5,2012-03-30,S,3,5.6187,2012-03-30
22031,714,46058,9,2012-03-30,S,1,31.2437,2012-03-30
22032,715,46058,22,2012-03-30,S,2,31.2437,2012-03-30
22033,716,46058,27,2012-03-30,S,1,31.2437,2012-03-30
22034,726,46058,11,2012-03-30,S,1,226.8571,2012-03-30
22035,729,46058,16,2012-03-30,S,1,226.8571,2012-03-30
22036,730,46058,3,2012-03-30,S,2,226.8571,2012-03-30
22037,732,46058,26,2012-03-30,S,2,440.1742,2012-03-30
22038,738,46058,10,2012-03-30,S,3,220.2496,2012-03-30
22039,749,46058,20,2012-03-30,S,2,2576.3544,2012-03-30
22040,751,46058,13,2012-03-30,S,3,2576.3544,2012-03-30
22041,753,46058,19,2012-03-30,S,2,2576.3544,2012-03-30
22042,755,46058,7,2012-03-30,S,3,1049.7528,2012-03-30
22043,757,46058,14,2012-03-30,S,3,1049.7528,2012-03-30
22044,758,46058,12,2012-03-30,S,1,1049.7528,2012-03-30
22045,759,46058,21,2012-03-30,S,1,503.3507,2012-03-30
22046,760,46058,2,2012-03-30,S,1,503.3507,2012-03-30
22047,761,46058,4,2012-03-30,S,1,503.3507,2012-03-30
22048,762,46058,1,2012-03-30,S,4,503.3507,2012-03-30
22049,764,46058,25,2012-03-30,S,2,503.3507,2012-03-30
22050,765,46058,15,2012-03-30,S,1,503.3507,2012-03-30
22051,766,46058,24,2012-03-30,S,1,503.3507,2012-03-30
22052,768,46058,28,2012-03-30,S,1,503.3507,2012-03-30
22053,769,46058,17,2012-03-30,S,1,503.3507,2012-03-30
22054,770,46058,6,2012-03-30,S,3,503.3507,2012-03-30
22055,725,46059,9,2012-03-30,S,1,226.8571,2012-03-30
22056,726,46059,6,2012-03-30,S,1,226.8571,2012-03-30
22057,729,46059,15,2012-03-30,S,1,226.8571,2012-03-30
22058,738,46059,14,2012-03-30,S,1,220.2496,2012-03-30
22059,749,46059,2,2012-03-30,S,1,2576.3544,2012-03-30
22060,750,46059,10,2012-03-30,S,2,2576.3544,2012-03-30
22061,751,46059,1,2012-03-30,S,2,2576.3544,2012-03-30
22062,752,46059,18,2012-03-30,S,3,2576.3544,2012-03-30
22063,754,46059,12,2012-03-30,S,3,1049.7528,2012-03-30
22064,757,46059,8,2012-03-30,S,3,1049.7528,2012-03-30
22065,760,46059,16,2012-03-30,S,3,503.3507,2012-03-30
22066,761,46059,17,2012-03-30,S,1,503.3507,2012-03-30
22067,762,46059,13,2012-03-30,S,1,503.3507,2012-03-30
22068,763,46059,11,2012-03-30,S,1,503.3507,2012-03-30
22069,764,46059,4,2012-03-30,S,1,503.3507,2012-03-30
22070,765,46059,19,2012-03-30,S,4,503.3507,2012-03-30
22071,767,46059,3,2012-03-30,S,2,503.3507,2012-03-30
22072,768,46059,7,2012-03-30,S,1,503.3507,2012-03-30
22073,769,46059,5,2012-03-30,S,1,503.3507,2012-03-30
22074,707,46060,14,2012-03-30,S,2,20.1865,2012-03-30
22075,708,46060,2,2012-03-30,S,3,20.1865,2012-03-30
22076,709,46060,1,2012-03-30,S,18,6.175,2012-03-30
22077,711,46060,16,2012-03-30,S,1,20.1865,2012-03-30
22078,712,46060,9,2012-03-30,S,2,5.6187,2012-03-30
22079,714,46060,6,2012-03-30,S,1,31.2437,2012-03-30
22080,715,46060,10,2012-03-30,S,5,31.2437,2012-03-30
22081,716,46060,17,2012-03-30,S,1,31.2437,2012-03-30
22082,741,46060,8,2012-03-30,S,1,1009.73,2012-03-30
22083,743,46060,3,2012-03-30,S,4,881.4687,2012-03-30
22084,748,46060,13,2012-03-30,S,1,891.2004,2012-03-30
22085,772,46060,5,2012-03-30,S,2,2447.9928,2012-03-30
22086,773,46060,7,2012-03-30,S,8,2447.9928,2012-03-30
22087,774,46060,15,2012-03-30,S,1,2447.9928,2012-03-30
22088,775,46060,4,2012-03-30,S,2,2429.9928,2012-03-30
22089,777,46060,11,2012-03-30,S,3,2429.9928,2012-03-30
22090,778,46060,12,2012-03-30,S,4,2429.9928,2012-03-30
22091,772,46061,2,2012-03-30,S,1,2447.9928,2012-03-30
22092,776,46061,4,2012-03-30,S,3,2429.9928,2012-03-30
22093,777,46061,3,2012-03-30,S,2,2429.9928,2012-03-30
22094,778,46061,1,2012-03-30,S,1,2429.9928,2012-03-30
22095,707,46062,13,2012-03-30,S,2,20.1865,2012-03-30
22096,708,46062,25,2012-03-30,S,6,20.1865,2012-03-30
22097,711,46062,24,2012-03-30,S,8,20.1865,2012-03-30
22098,712,46062,22,2012-03-30,S,14,5.6187,2012-03-30
22099,714,46062,20,2012-03-30,S,3,31.2437,2012-03-30
22100,715,46062,16,2012-03-30,S,6,31.2437,2012-03-30
22101,716,46062,14,2012-03-30,S,5,31.2437,2012-03-30
22102,722,46062,3,2012-03-30,S,1,220.2496,2012-03-30
22103,729,46062,18,2012-03-30,S,1,226.8571,2012-03-30
22104,730,46062,15,2012-03-30,S,1,226.8571,2012-03-30
22105,732,46062,1,2012-03-30,S,1,440.1742,2012-03-30
22106,733,46062,27,2012-03-30,S,1,440.1742,2012-03-30
22107,738,46062,23,2012-03-30,S,2,220.2496,2012-03-30
22108,749,46062,6,2012-03-30,S,1,2576.3544,2012-03-30
22109,753,46062,2,2012-03-30,S,4,2576.3544,2012-03-30
22110,754,46062,17,2012-03-30,S,3,1049.7528,2012-03-30
22111,755,46062,8,2012-03-30,S,2,1049.7528,2012-03-30
22112,756,46062,5,2012-03-30,S,2,1049.7528,2012-03-30
22113,758,46062,9,2012-03-30,S,8,1049.7528,2012-03-30
22114,760,46062,4,2012-03-30,S,9,503.3507,2012-03-30
22115,761,46062,21,2012-03-30,S,4,503.3507,2012-03-30
22116,762,46062,10,2012-03-30,S,6,503.3507,2012-03-30
22117,763,46062,12,2012-03-30,S,3,503.3507,2012-03-30
22118,764,46062,26,2012-03-30,S,1,503.3507,2012-03-30
22119,765,46062,19,2012-03-30,S,3,503.3507,2012-03-30
22120,766,46062,7,2012-03-30,S,3,503.3507,2012-03-30
22121,770,46062,11,2012-03-30,S,2,503.3507,2012-03-30
22122,758,46063,1,2012-03-30,S,1,1049.7528,2012-03-30
22123,725,46064,8,2012-03-30,S,1,226.8571,2012-03-30
22124,729,46064,5,2012-03-30,S,1,226.8571,2012-03-30
22125,753,46064,13,2012-03-30,S,3,2576.3544,2012-03-30
22126,754,46064,4,2012-03-30,S,2,1049.7528,2012-03-30
22127,758,46064,2,2012-03-30,S,4,1049.7528,2012-03-30
22128,760,46064,6,2012-03-30,S,5,503.3507,2012-03-30
22129,761,46064,9,2012-03-30,S,2,503.3507,2012-03-30
22130,762,46064,7,2012-03-30,S,3,503.3507,2012-03-30
22131,763,46064,1,2012-03-30,S,4,503.3507,2012-03-30
22132,764,46064,12,2012-03-30,S,1,503.3507,2012-03-30
22133,765,46064,3,2012-03-30,S,3,503.3507,2012-03-30
22134,766,46064,10,2012-03-30,S,3,503.3507,2012-03-30
22135,770,46064,11,2012-03-30,S,3,503.3507,2012-03-30
22136,771,46065,4,2012-03-30,S,1,2447.9928,2012-03-30
22137,775,46065,3,2012-03-30,S,3,2429.9928,2012-03-30
22138,776,46065,1,2012-03-30,S,1,2429.9928,2012-03-30
22139,777,46065,2,2012-03-30,S,1,2429.9928,2012-03-30
22140,709,46066,8,2012-03-30,S,6,6.175,2012-03-30
22141,741,46066,2,2012-03-30,S,4,1009.73,2012-03-30
22142,748,46066,9,2012-03-30,S,2,891.2004,2012-03-30
22143,771,46066,6,2012-03-30,S,10,2447.9928,2012-03-30
22144,772,46066,3,2012-03-30,S,7,2447.9928,2012-03-30
22145,773,46066,1,2012-03-30,S,3,2447.9928,2012-03-30
22146,774,46066,5,2012-03-30,S,10,2447.9928,2012-03-30
22147,775,46066,7,2012-03-30,S,3,2429.9928,2012-03-30
22148,776,46066,10,2012-03-30,S,4,2429.9928,2012-03-30
22149,777,46066,11,2012-03-30,S,6,2429.9928,2012-03-30
22150,778,46066,4,2012-03-30,S,4,2429.9928,2012-03-30
22151,707,46067,9,2012-03-30,S,3,20.1865,2012-03-30
22152,708,46067,1,2012-03-30,S,5,20.1865,2012-03-30
22153,709,46067,14,2012-03-30,S,5,6.175,2012-03-30
22154,711,46067,15,2012-03-30,S,9,20.1865,2012-03-30
22155,712,46067,11,2012-03-30,S,4,5.6187,2012-03-30
22156,714,46067,13,2012-03-30,S,5,31.2437,2012-03-30
22157,715,46067,3,2012-03-30,S,18,31.2437,2012-03-30
22158,716,46067,4,2012-03-30,S,7,31.2437,2012-03-30
22159,741,46067,19,2012-03-30,S,4,1009.73,2012-03-30
22160,742,46067,20,2012-03-30,S,2,891.2004,2012-03-30
22161,743,46067,6,2012-03-30,S,4,881.4687,2012-03-30
22162,747,46067,8,2012-03-30,S,3,881.4687,2012-03-30
22163,748,46067,7,2012-03-30,S,2,891.2004,2012-03-30
22164,771,46067,17,2012-03-30,S,7,2447.9928,2012-03-30
22165,772,46067,12,2012-03-30,S,7,2447.9928,2012-03-30
22166,773,46067,2,2012-03-30,S,6,2447.9928,2012-03-30
22167,774,46067,18,2012-03-30,S,5,2447.9928,2012-03-30
22168,775,46067,10,2012-03-30,S,5,2429.9928,2012-03-30
